DATUM;VOLT-E ESO;MENNYI ESO
2024.01.01;HAMIS;0
2024.01.02;HAMIS;0
2024.01.03;HAMIS;0
2024.01.04;IGAZ;27
2024.01.05;HAMIS;0
2024.01.06;HAMIS;0
2024.01.07;HAMIS;0
2024.01.08;HAMIS;0
2024.01.09;HAMIS;0
2024.01.10;IGAZ;25
2024.01.11;IGAZ;2
2024.01.12;HAMIS;0
2024.01.13;HAMIS;0
2024.01.14;HAMIS;0
2024.01.15;IGAZ;96
2024.01.16;HAMIS;0
2024.01.17;HAMIS;0
2024.01.18;IGAZ;19
2024.01.19;HAMIS;0
2024.01.20;HAMIS;0
2024.01.21;HAMIS;0
2024.01.22;HAMIS;0
2024.01.23;HAMIS;0
2024.01.24;HAMIS;0
2024.01.25;IGAZ;88
2024.01.26;HAMIS;0
2024.01.27;HAMIS;0
2024.01.28;HAMIS;0
2024.01.29;IGAZ;42
2024.01.30;HAMIS;0
2024.01.31;HAMIS;0
2024.02.01;HAMIS;0
2024.02.02;HAMIS;0
2024.02.03;HAMIS;0
2024.02.04;HAMIS;0
2024.02.05;HAMIS;0
2024.02.06;HAMIS;0
2024.02.07;HAMIS;0
2024.02.08;HAMIS;0
2024.02.09;HAMIS;0
2024.02.10;HAMIS;0
2024.02.11;HAMIS;0
2024.02.12;HAMIS;0
2024.02.13;HAMIS;0
2024.02.14;HAMIS;0
2024.02.15;HAMIS;0
2024.02.16;HAMIS;0
2024.02.17;HAMIS;0
2024.02.18;HAMIS;0
2024.02.19;IGAZ;49
2024.02.20;HAMIS;0
2024.02.21;HAMIS;0
2024.02.22;HAMIS;0
2024.02.23;HAMIS;0
2024.02.24;HAMIS;0
2024.02.25;HAMIS;0
2024.02.26;HAMIS;0
2024.02.27;HAMIS;0
2024.02.28;HAMIS;0
2024.02.29;HAMIS;0
2024.03.01;HAMIS;0
2024.03.02;HAMIS;0
2024.03.03;HAMIS;0
2024.03.04;HAMIS;0
2024.03.05;HAMIS;0
2024.03.06;HAMIS;0
2024.03.07;HAMIS;0
2024.03.08;HAMIS;0
2024.03.09;HAMIS;0
2024.03.10;HAMIS;0
2024.03.11;HAMIS;0
2024.03.12;HAMIS;0
2024.03.13;HAMIS;0
2024.03.14;HAMIS;0
2024.03.15;IGAZ;74
2024.03.16;HAMIS;0
2024.03.17;HAMIS;0
2024.03.18;HAMIS;0
2024.03.19;HAMIS;0
2024.03.20;HAMIS;0
2024.03.21;HAMIS;0
2024.03.22;HAMIS;0
2024.03.23;HAMIS;0
2024.03.24;HAMIS;0
2024.03.25;HAMIS;0
2024.03.26;HAMIS;0
2024.03.27;IGAZ;56
2024.03.28;HAMIS;0
2024.03.29;HAMIS;0
2024.03.30;HAMIS;0
2024.03.31;IGAZ;77
2024.04.01;HAMIS;0
2024.04.02;HAMIS;0
2024.04.03;IGAZ;90
2024.04.04;HAMIS;0
2024.04.05;HAMIS;0
2024.04.06;HAMIS;0
2024.04.07;HAMIS;0
2024.04.08;HAMIS;0
2024.04.09;HAMIS;0
2024.04.10;HAMIS;0
2024.04.11;HAMIS;0
2024.04.12;HAMIS;0
2024.04.13;HAMIS;0
2024.04.14;HAMIS;0
2024.04.15;HAMIS;0
2024.04.16;HAMIS;0
2024.04.17;HAMIS;0
2024.04.18;HAMIS;0
2024.04.19;HAMIS;0
2024.04.20;HAMIS;0
2024.04.21;IGAZ;17
2024.04.22;IGAZ;38
2024.04.23;HAMIS;0
2024.04.24;HAMIS;0
